1,4,1,2,2,10,3,11,2,1,0.218
2,2,3,4,3,0,3,11,1,7,0.218
1,12,3,2,2,7,0,6,2,11,0.598
3,7,3,0,2,10,2,6,0,4,0.295
2,1,2,6,1,12,0,0,3,9,0.297
2,6,1,10,1,11,0,1,0,7,0.522
2,3,1,11,3,2,3,7,1,4,0.519
3,11,1,9,0,0,1,5,0,7,0.572
1,3,1,12,2,7,0,1,2,5,0.608
0,10,0,9,0,2,1,11,0,8,0.798
3,0,2,6,3,11,2,4,0,10,0.247
2,4,0,3,2,10,3,9,1,11,0.244
1,3,0,2,1,4,2,0,3,9,0.327
3,3,1,11,0,7,3,1,2,5,0.525
0,4,0,0,0,12,0,10,2,2,0.457
3,9,0,10,3,11,1,1,0,3,0.568
0,6,0,11,3,3,0,2,1,8,0.564
2,2,3,0,1,1,2,12,2,6,0.298
0,11,3,4,1,9,2,2,2,1,0.522
1,8,3,2,0,12,2,9,3,10,0.536
3,10,3,5,3,2,2,9,1,7,0.48
0,5,1,2,1,1,3,6,0,12,0.252
1,2,1,0,0,1,2,5,2,11,0.149
3,2,3,5,0,11,0,0,1,10,0.231
2,1,2,4,1,10,3,3,2,7,0.257
3,6,0,3,1,0,3,4,1,10,0.27
3,2,0,1,0,6,0,12,3,8,0.2
3,10,0,0,3,9,3,12,0,8,0.57
3,7,0,10,2,1,0,4,3,12,0.537
3,12,2,2,3,5,2,11,3,10,0.615
2,2,3,1,3,3,2,4,3,11,0.406
3,12,1,3,1,9,2,11,1,5,0.61
3,12,1,7,0,9,0,5,2,10,0.646
0,7,3,4,0,5,3,11,2,3,0.426
3,5,2,11,2,1,1,9,1,7,0.532
0,10,3,12,3,11,3,7,2,1,0.68
2,2,2,9,1,1,2,3,1,0,0.524
2,1,2,10,2,3,0,0,0,4,0.495
2,9,2,0,1,11,3,1,2,4,0.422
3,2,3,4,1,10,1,8,3,12,0.267
0,8,0,11,3,10,1,0,1,3,0.565
3,12,0,1,0,6,1,4,2,9,0.577
2,2,0,4,2,10,1,0,3,12,0.208
2,12,1,3,1,0,3,6,0,11,0.599
0,9,1,4,0,7,1,2,0,0,0.398
2,0,1,3,2,7,0,4,2,9,0.215
0,11,0,7,0,8,3,6,3,2,0.573
3,9,1,12,0,7,0,2,2,8,0.662
3,8,0,7,3,2,1,3,3,12,0.404
1,4,3,2,1,10,3,5,0,7,0.227
