0.333,0.167,0,0,0,0.218
1.0,0.167,1,0,0,0.598
0.583,0.0,0,0,0,0.295
0.5,0.083,0,0,0,0.297
0.833,0.5,0,0,0,0.522
0.917,0.25,1,0,0,0.519
0.917,0.75,1,0,0,0.572
1.0,0.25,1,0,0,0.608
0.833,0.75,0,1,1,0.798
0.5,0.0,0,0,0,0.247
0.333,0.25,0,0,0,0.244
0.25,0.167,0,0,0.5,0.327
0.917,0.25,1,0,0,0.525
0.333,0.0,0,1,0,0.457
0.833,0.75,0,0,0,0.568
0.917,0.5,1,0,0,0.564
0.167,0.0,0,0,0,0.298
0.917,0.333,1,0,0,0.522
0.667,0.167,0,0,0.5,0.536
0.833,0.417,1,0,0,0.48
0.417,0.167,0,0,0,0.252
0.167,0.0,0,0,0,0.149
0.417,0.167,0,0,0,0.231
0.333,0.083,0,0,0,0.257
0.5,0.25,0,0,0,0.27
0.167,0.083,0,0,0,0.2
0.833,0.0,0,0,0.5,0.57
0.833,0.583,0,0,0,0.537
1.0,0.167,1,0,0,0.615
0.167,0.083,0,0,1,0.406
1.0,0.25,1,0,0,0.61
1.0,0.583,1,0,0,0.646
0.583,0.333,0,0,0.5,0.426
0.917,0.417,1,0,0,0.532
1.0,0.833,1,0,0,0.68
0.75,0.167,1,0,1,0.524
0.833,0.083,1,0,0.5,0.495
0.75,0.0,0,0,0,0.422
0.333,0.167,0,0,0,0.267
0.917,0.667,1,0,0,0.565
1.0,0.083,1,0,0,0.577
0.333,0.167,0,0,0,0.208
1.0,0.25,1,0,0,0.599
0.75,0.333,1,0,0,0.398
0.25,0.0,0,0,0,0.215
0.917,0.583,1,0,0,0.573
1.0,0.75,1,0,0,0.662
0.667,0.583,0,0,0,0.404
0.333,0.167,0,0,0,0.227
0.667,0.167,0,0,0,0.414
0.583,0.167,0,0,0,0.344
0.583,0.167,0,0,0,0.376
0.667,0.583,0,0,0,0.421
0.917,0.083,1,0,0,0.523
0.917,0.5,1,0,0,0.544
0.333,0.0,0,0,0,0.228
0.833,0.667,0,0,0,0.555
0.167,0.083,0,0,0,0.17
0.417,0.083,0,0,0,0.255
0.833,0.667,1,0,0.5,0.553
0.083,0.0,0,0,0,0.176
0.75,0.583,0,0,1,0.626
0.5,0.25,0,0,0.5,0.384
1.0,0.583,1,0,0,0.634
1.0,0.917,1,0,0,0.688
0.417,0.0,0,0,0,0.277
0.917,0.667,1,0,1,0.657
0.667,0.25,0,0,0,0.345
0.917,0.25,1,0,0,0.527
